,date,open,close,high,low,volume,code
0,2004-08-31,7.51,6.46,8.05,6.11,1134929.21,600987
1,2004-09-30,6.42,6.5,7.12,5.85,621198.8,600987
2,2004-10-29,6.46,5.67,6.84,5.5,226115.12,600987
3,2004-11-30,5.61,5.94,6.12,5.56,244451.71,600987
4,2004-12-31,5.98,5.55,6.1,5.47,128026.06,600987
5,2005-01-31,5.48,4.62,5.58,4.6,118466.96,600987
6,2005-02-28,4.6,5.08,5.29,4.6,126485.91,600987
7,2005-03-31,5.08,4.16,5.22,4.06,130291.91,600987
8,2005-04-29,4.16,3.61,4.5,3.41,160566.95,600987
9,2005-05-31,3.57,3.32,3.63,3.1,100031.62,600987
10,2005-06-30,3.22,3.62,3.94,3.1,459506.24,600987
11,2005-07-29,3.6,3.15,3.6,2.84,433400.91,600987
12,2005-08-31,3.12,3.58,3.65,3.09,615593.52,600987
13,2005-09-30,3.55,3.56,4.15,3.53,723564.07,600987
14,2005-10-31,3.6,3.14,3.69,3.06,148372.87,600987
15,2005-11-30,3.14,3.4,3.65,3.1,338320.52,600987
16,2005-12-29,3.39,3.57,3.71,3.35,271206.34,600987
17,2006-01-25,3.58,3.66,3.83,3.48,265396.6,600987
18,2006-02-28,3.68,3.73,3.92,3.61,232508.3,600987
19,2006-03-31,3.74,3.72,3.84,3.44,212791.21,600987
20,2006-04-26,4.09,4.0,4.2,3.81,378567.14,600987
21,2006-05-31,3.01,3.08,3.23,2.8,461189.97,600987
22,2006-06-30,3.08,3.48,3.56,3.08,1269367.58,600987
23,2006-07-31,3.56,3.41,3.67,3.28,867748.65,600987
24,2006-08-31,3.36,3.31,3.45,3.12,365852.97,600987
25,2006-09-29,3.3,3.51,3.56,3.2,548018.45,600987
26,2006-10-31,3.54,3.45,3.69,3.38,416566.82,600987
27,2006-11-30,3.44,3.41,3.49,3.18,338448.35,600987
28,2006-12-29,3.41,3.55,3.88,3.34,960677.15,600987
29,2007-01-31,3.56,5.1,5.43,3.5,1980057.8,600987
30,2007-02-28,5.08,5.49,6.05,4.63,1909418.31,600987
31,2007-03-30,5.5,6.43,6.75,5.17,1791941.05,600987
32,2007-04-27,6.38,9.79,9.98,6.38,2603226.65,600987
33,2007-05-31,10.37,9.27,12.3,9.27,2626892.66,600987
34,2007-06-29,9.06,6.84,9.5,6.52,1810961.58,600987
35,2007-07-31,6.88,8.31,8.33,6.5,840659.54,600987
36,2007-08-31,8.35,9.2,9.5,7.7,1538208.41,600987
37,2007-09-28,9.29,8.95,9.64,8.33,844142.48,600987
38,2007-10-31,9.07,7.72,9.13,6.85,450050.31,600987
39,2007-11-30,7.78,7.45,7.85,6.98,312268.7,600987
40,2007-12-28,7.45,8.52,8.84,7.4,489503.88,600987
41,2008-01-31,8.6,7.88,9.36,7.7,761620.67,600987
42,2008-02-29,7.78,8.85,8.97,7.2,319416.27,600987
43,2008-03-31,8.85,8.5,9.6,7.0,593513.16,600987
44,2008-04-30,8.44,8.99,9.97,7.0,1697599.37,600987
45,2008-05-30,9.08,5.88,9.67,5.7,1088491.89,600987
46,2008-06-30,5.88,4.02,5.99,3.71,454064.05,600987
47,2008-07-31,4.02,4.47,4.93,3.8,687230.2,600987
48,2008-08-29,4.58,3.54,4.69,3.34,321348.5,600987
49,2008-09-26,3.5,3.29,3.7,2.95,249370.26,600987
50,2008-10-31,3.28,2.84,3.36,2.68,367434.56,600987
51,2008-11-28,2.82,3.15,3.66,2.8,1373223.96,600987
52,2008-12-31,3.15,3.16,4.08,3.11,1682008.59,600987
53,2009-01-23,3.2,3.63,4.13,3.19,946105.68,600987
54,2009-02-27,3.65,3.86,5.04,3.6,2996532.69,600987
55,2009-03-31,3.86,4.94,4.99,3.8,1993701.69,600987
56,2009-04-30,4.83,5.02,5.29,4.58,1769182.44,600987
57,2009-05-27,5.04,5.31,5.38,4.82,1306474.92,600987
58,2009-06-30,5.35,5.4,6.0,5.11,1893067.62,600987
59,2009-07-31,5.4,6.52,6.63,5.4,2409936.89,600987
60,2009-08-31,6.52,5.67,6.92,5.5,2543391.89,600987
61,2009-09-30,5.66,6.51,7.36,5.6,2384402.35,600987
62,2009-10-30,6.58,7.44,7.76,6.58,1542424.0,600987
63,2009-11-30,7.35,8.17,8.74,7.29,2037881.42,600987
64,2009-12-31,8.15,8.99,9.15,7.74,1640958.74,600987
65,2010-01-29,8.99,8.88,10.7,8.47,1507913.08,600987
66,2010-02-26,8.88,9.24,9.45,8.03,520797.38,600987
67,2010-03-31,9.2,9.08,9.65,8.5,993642.12,600987
68,2010-04-30,9.15,8.01,10.15,7.82,1323522.29,600987
69,2010-05-31,7.88,6.9,8.3,6.26,472256.45,600987
70,2010-06-30,6.84,6.45,7.27,6.41,362762.11,600987
71,2010-07-30,6.41,7.65,7.73,6.13,663531.12,600987
72,2010-08-31,7.88,8.59,8.79,7.75,1667287.22,600987
73,2010-09-30,8.61,9.28,9.42,8.29,1091767.0,600987
74,2010-10-29,9.32,9.16,9.7,8.59,1126635.0,600987
75,2010-11-30,9.18,9.04,10.12,8.39,1845678.0,600987
76,2010-12-31,9.0,8.67,9.21,7.89,682170.0,600987
77,2011-01-31,8.66,7.87,8.76,7.3,539078.0,600987
78,2011-02-28,7.89,8.78,8.88,7.66,607007.0,600987
