,date,open,close,high,low,volume,code
0,2004-08-13,2.421,2.263,2.595,2.231,698829.46,600987
1,2004-08-20,2.247,2.038,2.263,1.97,153582.82,600987
2,2004-08-27,1.999,2.076,2.218,1.98,221309.05,600987
3,2004-09-03,2.063,2.022,2.147,2.002,108230.81,600987
4,2004-09-10,2.015,1.957,2.047,1.918,50382.81,600987
5,2004-09-17,1.951,2.189,2.192,1.886,215943.03,600987
6,2004-09-24,2.205,2.151,2.296,2.134,255994.83,600987
7,2004-09-30,2.167,2.096,2.202,2.089,51855.2,600987
8,2004-10-08,2.083,2.16,2.163,2.054,10780.24,600987
9,2004-10-15,2.147,1.931,2.205,1.905,70226.97,600987
10,2004-10-22,1.989,1.838,2.044,1.773,79203.56,600987
11,2004-10-29,1.873,1.828,1.909,1.783,65904.35,600987
12,2004-11-05,1.809,1.851,1.886,1.793,52737.61,600987
13,2004-11-12,1.851,1.896,1.96,1.838,82059.01,600987
14,2004-11-19,1.896,1.931,1.951,1.873,43646.26,600987
15,2004-11-26,1.944,1.918,1.973,1.909,52697.4,600987
16,2004-12-03,1.909,1.957,1.967,1.896,38082.06,600987
17,2004-12-10,1.957,1.864,1.957,1.864,28615.87,600987
18,2004-12-17,1.854,1.815,1.883,1.789,24816.53,600987
19,2004-12-24,1.806,1.828,1.873,1.799,26288.25,600987
20,2004-12-31,1.828,1.789,1.851,1.764,23534.78,600987
21,2005-01-07,1.767,1.738,1.767,1.706,15267.77,600987
22,2005-01-14,1.799,1.715,1.799,1.712,16258.71,600987
23,2005-01-21,1.702,1.599,1.702,1.535,40465.62,600987
24,2005-01-28,1.612,1.548,1.648,1.544,40065.81,600987
25,2005-02-04,1.561,1.609,1.628,1.483,46859.61,600987
26,2005-02-18,1.609,1.59,1.622,1.58,12331.5,600987
27,2005-02-25,1.59,1.664,1.706,1.583,64672.43,600987
28,2005-03-04,1.657,1.609,1.664,1.596,29862.47,600987
29,2005-03-11,1.609,1.619,1.683,1.606,36327.66,600987
30,2005-03-18,1.619,1.502,1.625,1.499,34531.7,600987
31,2005-03-25,1.525,1.428,1.528,1.399,22416.03,600987
32,2005-04-01,1.432,1.38,1.432,1.309,22069.58,600987
33,2005-04-08,1.38,1.422,1.432,1.312,36379.16,600987
34,2005-04-15,1.419,1.325,1.451,1.306,48027.45,600987
35,2005-04-22,1.315,1.157,1.335,1.106,43171.33,600987
36,2005-04-29,1.145,1.164,1.193,1.099,27104.9,600987
37,2005-05-13,1.151,1.119,1.17,1.07,18097.21,600987
38,2005-05-20,1.103,1.128,1.148,1.096,22718.98,600987
39,2005-05-27,1.122,1.041,1.122,1.0,39980.76,600987
40,2005-06-03,1.038,1.074,1.09,1.022,35410.28,600987
41,2005-06-10,1.071,1.15,1.247,1.031,104522.04,600987
42,2005-06-17,1.167,1.137,1.21,1.097,57124.78,600987
43,2005-06-24,1.127,1.2,1.223,1.127,83132.9,600987
44,2005-07-01,1.233,1.11,1.31,1.097,218166.25,600987
45,2005-07-08,1.097,1.15,1.174,1.067,112694.89,600987
46,2005-07-15,1.167,1.054,1.197,1.054,144936.18,600987
47,2005-07-22,1.031,0.987,1.031,0.944,63766.46,600987
48,2005-07-29,0.987,1.047,1.077,0.958,92388.04,600987
49,2005-08-05,1.037,1.084,1.09,1.027,85083.39,600987
50,2005-08-12,1.114,1.134,1.187,1.094,188623.86,600987
51,2005-08-19,1.12,1.147,1.213,1.117,133983.03,600987
52,2005-08-26,1.147,1.174,1.21,1.14,133685.86,600987
53,2005-09-02,1.177,1.233,1.257,1.15,146536.86,600987
54,2005-09-09,1.237,1.213,1.257,1.18,103847.68,600987
55,2005-09-16,1.207,1.346,1.363,1.207,317072.34,600987
56,2005-09-23,1.38,1.253,1.38,1.233,167955.26,600987
57,2005-09-30,1.247,1.184,1.253,1.174,62369.31,600987
58,2005-10-14,1.197,1.174,1.227,1.16,47612.15,600987
59,2005-10-21,1.174,1.147,1.184,1.117,43790.76,600987
60,2005-10-28,1.147,1.041,1.174,1.017,51636.58,600987
61,2005-11-04,1.047,1.067,1.084,1.024,26889.18,600987
62,2005-11-11,1.074,1.051,1.114,1.037,42996.84,600987
63,2005-11-18,1.047,1.094,1.094,1.041,28992.31,600987
64,2005-11-25,1.094,1.18,1.213,1.087,218449.12,600987
65,2005-12-02,1.164,1.16,1.19,1.107,70839.95,600987
66,2005-12-09,1.16,1.19,1.21,1.114,71109.15,600987
67,2005-12-16,1.197,1.197,1.233,1.174,73292.59,600987
68,2005-12-23,1.2,1.197,1.204,1.147,48880.94,600987
69,2005-12-29,1.197,1.187,1.204,1.177,33410.16,600987
70,2006-01-06,1.19,1.207,1.213,1.157,47305.91,600987
71,2006-01-13,1.204,1.247,1.257,1.2,98961.02,600987
72,2006-01-20,1.273,1.22,1.273,1.184,72147.56,600987
73,2006-01-25,1.213,1.217,1.257,1.19,46982.11,600987
74,2006-02-10,1.223,1.28,1.303,1.217,94532.32,600987
75,2006-02-17,1.277,1.217,1.293,1.21,63407.2,600987
76,2006-02-24,1.213,1.273,1.28,1.2,55975.43,600987
77,2006-03-03,1.263,1.223,1.277,1.21,55331.14,600987
78,2006-03-10,1.223,1.154,1.237,1.144,31280.91,600987
79,2006-03-17,1.164,1.17,1.187,1.15,21667.98,600987
80,2006-03-24,1.164,1.21,1.25,1.154,62502.36,600987
81,2006-03-31,1.207,1.237,1.263,1.2,60602.17,600987
82,2006-04-14,1.36,1.31,1.36,1.267,129668.42,600987
83,2006-04-21,1.307,1.363,1.386,1.303,147670.07,600987
84,2006-04-26,1.363,1.33,1.396,1.323,101228.65,600987
85,2006-05-26,1.174,1.186,1.201,1.092,228404.22,600987
86,2006-06-02,1.189,1.283,1.31,1.154,381673.33,600987
87,2006-06-09,1.291,1.24,1.388,1.201,380512.88,600987
88,2006-06-16,1.24,1.306,1.322,1.201,251490.99,600987
89,2006-06-23,1.306,1.287,1.338,1.248,182308.99,600987
90,2006-06-30,1.291,1.357,1.377,1.291,306167.14,600987
91,2006-07-07,1.388,1.349,1.396,1.31,231739.76,600987
92,2006-07-14,1.349,1.318,1.431,1.279,265419.92,600987
93,2006-07-21,1.306,1.373,1.384,1.299,151608.46,600987
94,2006-07-28,1.345,1.384,1.42,1.322,192326.97,600987
95,2006-08-04,1.373,1.279,1.384,1.275,96684.66,600987
96,2006-08-11,1.248,1.326,1.342,1.24,98373.93,600987
97,2006-08-18,1.334,1.275,1.334,1.267,66825.97,600987
98,2006-08-25,1.24,1.275,1.295,1.217,49668.73,600987
99,2006-09-01,1.275,1.252,1.322,1.248,102693.05,600987
100,2006-09-08,1.252,1.326,1.345,1.252,143888.54,600987
101,2006-09-15,1.334,1.322,1.357,1.287,141682.78,600987
102,2006-09-22,1.322,1.345,1.388,1.314,139806.4,600987
103,2006-09-29,1.33,1.369,1.388,1.326,100900.9,600987
104,2006-10-13,1.381,1.396,1.439,1.365,196504.47,600987
105,2006-10-20,1.4,1.369,1.423,1.361,100693.24,600987
106,2006-10-27,1.365,1.326,1.4,1.318,93210.99,600987
107,2006-11-03,1.326,1.353,1.361,1.318,69394.02,600987
108,2006-11-10,1.342,1.295,1.345,1.287,94931.5,600987
109,2006-11-17,1.295,1.283,1.303,1.24,66025.13,600987
110,2006-11-24,1.283,1.31,1.322,1.252,62396.17,600987
111,2006-12-01,1.314,1.361,1.361,1.291,121028.84,600987
112,2006-12-08,1.373,1.314,1.431,1.303,262754.98,600987
113,2006-12-15,1.306,1.384,1.423,1.306,127915.37,600987
114,2006-12-22,1.388,1.455,1.513,1.353,286819.39,600987
115,2006-12-29,1.455,1.384,1.486,1.357,234018.22,600987
116,2007-01-05,1.388,1.435,1.447,1.365,81349.02,600987
117,2007-01-12,1.427,1.49,1.618,1.427,417503.9,600987
118,2007-01-19,1.486,1.646,1.654,1.482,352232.21,600987
119,2007-01-26,1.689,1.767,1.786,1.626,439404.94,600987
120,2007-02-02,1.786,1.919,2.118,1.774,841525.65,600987
121,2007-02-09,1.993,2.012,2.11,1.981,779160.79,600987
122,2007-02-16,2.02,2.223,2.34,2.016,679873.27,600987
123,2007-03-02,2.262,2.102,2.359,2.001,429614.17,600987
124,2007-03-09,2.102,2.215,2.258,2.016,290906.23,600987
125,2007-03-16,2.215,2.215,2.344,2.188,447598.6,600987
126,2007-03-23,2.16,2.379,2.394,2.129,400021.24,600987
127,2007-03-30,2.433,2.508,2.632,2.402,522227.14,600987
128,2007-04-06,2.488,2.706,2.757,2.488,387259.96,600987
129,2007-04-13,2.765,2.948,3.069,2.695,635900.07,600987
130,2007-04-20,2.987,3.373,3.557,2.956,890225.04,600987
131,2007-04-27,3.373,3.818,3.892,3.311,689841.58,600987
132,2007-05-11,4.044,4.313,4.333,3.997,780706.41,600987
133,2007-05-18,4.391,4.355,4.454,3.904,665053.25,600987
134,2007-05-25,4.221,4.426,4.852,4.182,617592.94,600987
135,2007-06-01,4.458,3.29,4.576,3.29,688176.68,600987
136,2007-06-08,3.318,3.33,3.432,2.667,585665.4,600987
137,2007-06-15,3.334,3.338,3.582,3.077,465179.42,600987
138,2007-06-22,3.381,3.038,3.566,2.967,362022.69,600987
139,2007-06-29,3.038,2.698,3.077,2.572,273457.45,600987
140,2007-07-06,2.714,2.793,2.884,2.564,166044.68,600987
141,2007-07-13,2.805,2.817,2.923,2.762,141079.98,600987
142,2007-07-20,2.84,2.864,2.884,2.635,115407.87,600987
143,2007-07-27,2.88,3.188,3.192,2.864,297513.23,600987
144,2007-08-03,3.219,3.432,3.665,3.038,431877.44,600987
145,2007-08-10,3.424,3.207,3.487,3.109,278425.62,600987
146,2007-08-17,3.203,3.278,3.385,3.16,199948.53,600987
147,2007-08-24,3.318,3.63,3.645,3.31,366365.12,600987
148,2007-08-31,3.708,3.63,3.748,3.456,382205.48,600987
149,2007-09-07,3.665,3.649,3.748,3.547,222436.06,600987
150,2007-09-14,3.653,3.468,3.803,3.286,294069.93,600987
151,2007-09-21,3.472,3.507,3.626,3.432,193479.42,600987
152,2007-09-28,3.551,3.531,3.57,3.413,134157.07,600987
153,2007-10-12,3.578,3.271,3.602,3.136,184165.85,600987
154,2007-10-19,3.274,3.16,3.294,3.121,113019.99,600987
155,2007-10-26,3.132,2.769,3.196,2.702,91055.76,600987
156,2007-11-02,2.781,2.876,3.077,2.734,91554.45,600987
157,2007-11-09,2.88,2.829,2.994,2.781,58845.08,600987
158,2007-11-16,2.817,2.923,2.971,2.754,64678.25,600987
159,2007-11-23,2.927,2.935,3.097,2.833,97516.39,600987
160,2007-11-30,2.967,2.939,3.006,2.88,61483.24,600987
161,2007-12-07,2.939,3.046,3.065,2.919,73236.22,600987
162,2007-12-14,3.03,3.223,3.235,2.967,143198.4,600987
163,2007-12-21,3.247,3.345,3.409,3.16,137114.77,600987
164,2007-12-28,3.413,3.361,3.487,3.306,135954.49,600987
165,2008-01-04,3.393,3.547,3.598,3.361,96816.8,600987
166,2008-01-11,3.547,3.499,3.637,3.456,171314.56,600987
167,2008-01-18,3.511,3.562,3.693,3.373,226310.85,600987
168,2008-01-25,3.578,3.349,3.669,3.101,200578.46,600987
169,2008-02-01,3.357,2.986,3.381,2.84,82894.73,600987
170,2008-02-05,3.057,3.223,3.251,3.046,30291.6,600987
171,2008-02-15,3.176,3.243,3.286,3.14,34481.14,600987
172,2008-02-22,3.306,3.349,3.436,3.239,104280.8,600987
173,2008-02-29,3.349,3.491,3.539,3.223,134068.0,600987
174,2008-03-07,3.491,3.487,3.787,3.452,223142.72,600987
175,2008-03-14,3.424,3.278,3.535,3.196,94108.41,600987
176,2008-03-21,3.259,3.113,3.302,2.762,91287.19,600987
177,2008-03-28,3.148,3.196,3.282,2.931,85541.67,600987
178,2008-04-03,3.294,3.472,3.535,3.148,306162.57,600987
179,2008-04-11,3.432,3.803,3.933,3.385,679171.85,600987
180,2008-04-18,3.716,2.923,3.716,2.872,367269.63,600987
181,2008-04-25,2.86,3.338,3.527,2.762,261647.4,600987
182,2008-04-30,3.314,3.547,3.57,3.251,182781.09,600987
183,2008-05-09,3.582,3.685,3.779,3.413,382607.97,600987
184,2008-05-16,3.685,3.539,3.815,3.44,376954.59,600987
185,2008-05-23,3.529,3.137,3.55,2.98,203192.15,600987
186,2008-05-30,3.137,3.074,3.262,3.032,125737.18,600987
