,date,open,close,high,low,volume,code
0,2004-08-31,2.421,2.083,2.595,1.97,1134929.21,600987
1,2004-09-30,2.07,2.096,2.296,1.886,621198.8,600987
2,2004-10-29,2.083,1.828,2.205,1.773,226115.12,600987
3,2004-11-30,1.809,1.915,1.973,1.793,244451.71,600987
4,2004-12-31,1.928,1.789,1.967,1.764,128026.06,600987
5,2005-01-31,1.767,1.49,1.799,1.483,118466.96,600987
6,2005-02-28,1.483,1.638,1.706,1.483,126485.91,600987
7,2005-03-31,1.638,1.341,1.683,1.309,130291.91,600987
8,2005-04-29,1.341,1.164,1.451,1.099,160566.95,600987
9,2005-05-31,1.151,1.07,1.17,1.0,100031.62,600987
10,2005-06-30,1.071,1.204,1.31,1.031,459506.24,600987
11,2005-07-29,1.197,1.047,1.197,0.944,433400.91,600987
12,2005-08-31,1.037,1.19,1.213,1.027,615593.52,600987
13,2005-09-30,1.18,1.184,1.38,1.174,723564.07,600987
14,2005-10-31,1.197,1.044,1.227,1.017,148372.87,600987
15,2005-11-30,1.044,1.13,1.213,1.031,338320.52,600987
16,2005-12-29,1.127,1.187,1.233,1.114,271206.34,600987
17,2006-01-25,1.19,1.217,1.273,1.157,265396.6,600987
18,2006-02-28,1.223,1.24,1.303,1.2,232508.3,600987
19,2006-03-31,1.243,1.237,1.277,1.144,212791.21,600987
20,2006-04-26,1.36,1.33,1.396,1.267,378567.14,600987
21,2006-05-31,1.174,1.201,1.26,1.092,461189.97,600987
22,2006-06-30,1.201,1.357,1.388,1.201,1269367.58,600987
23,2006-07-31,1.388,1.33,1.431,1.279,867748.65,600987
24,2006-08-31,1.31,1.291,1.345,1.217,365852.97,600987
25,2006-09-29,1.287,1.369,1.388,1.248,548018.45,600987
26,2006-10-31,1.381,1.345,1.439,1.318,416566.82,600987
27,2006-11-30,1.342,1.33,1.361,1.24,338448.35,600987
28,2006-12-29,1.33,1.384,1.513,1.303,960677.15,600987
29,2007-01-31,1.388,1.989,2.118,1.365,1980057.8,600987
30,2007-02-28,1.981,2.141,2.359,1.806,1909418.31,600987
31,2007-03-30,2.145,2.508,2.632,2.016,1791941.05,600987
32,2007-04-27,2.488,3.818,3.892,2.488,2603226.65,600987
33,2007-05-31,4.044,3.657,4.852,3.657,2626892.66,600987
34,2007-06-29,3.574,2.698,3.748,2.572,1810961.58,600987
35,2007-07-31,2.714,3.278,3.286,2.564,840659.54,600987
36,2007-08-31,3.294,3.63,3.748,3.038,1538208.41,600987
37,2007-09-28,3.665,3.531,3.803,3.286,844142.48,600987
38,2007-10-31,3.578,3.046,3.602,2.702,450050.31,600987
39,2007-11-30,3.069,2.939,3.097,2.754,312268.7,600987
40,2007-12-28,2.939,3.361,3.487,2.919,489503.88,600987
41,2008-01-31,3.393,3.109,3.693,3.038,761620.67,600987
42,2008-02-29,3.069,3.491,3.539,2.84,319416.27,600987
43,2008-03-31,3.491,3.353,3.787,2.762,593513.16,600987
44,2008-04-30,3.33,3.547,3.933,2.762,1697599.37,600987
45,2008-05-30,3.582,3.074,3.815,2.98,1088491.89,600987
46,2008-06-30,3.074,2.102,3.132,1.94,454064.05,600987
47,2008-07-31,2.102,2.337,2.577,1.987,687230.2,600987
48,2008-08-29,2.394,1.851,2.452,1.746,321348.5,600987
49,2008-09-26,1.83,1.72,1.934,1.542,249370.26,600987
50,2008-10-31,1.715,1.485,1.757,1.401,367434.56,600987
51,2008-11-28,1.474,1.647,1.914,1.464,1373223.96,600987
52,2008-12-31,1.647,1.652,2.133,1.626,1682008.59,600987
53,2009-01-23,1.673,1.898,2.159,1.668,946105.68,600987
54,2009-02-27,1.908,2.018,2.635,1.882,2996532.69,600987
55,2009-03-31,2.018,2.583,2.609,1.987,1993701.69,600987
56,2009-04-30,2.525,2.625,2.766,2.394,1769182.44,600987
57,2009-05-27,2.635,2.857,2.879,2.588,1306474.92,600987
58,2009-06-30,2.879,2.906,3.234,2.744,1893067.62,600987
59,2009-07-31,2.906,3.508,3.568,2.906,2409936.89,600987
60,2009-08-31,3.508,3.051,3.724,2.96,2543391.89,600987
61,2009-09-30,3.046,3.503,3.96,3.013,2384402.35,600987
62,2009-10-30,3.541,4.003,4.176,3.541,1542424.0,600987
63,2009-11-30,3.955,4.396,4.703,3.923,2037881.42,600987
64,2009-12-31,4.385,4.837,4.924,4.165,1640958.74,600987
65,2010-01-29,4.837,4.778,5.758,4.558,1507913.08,600987
66,2010-02-26,4.778,4.972,5.085,4.321,520797.38,600987
67,2010-03-31,4.95,4.886,5.193,4.574,993642.12,600987
68,2010-04-30,4.924,4.31,5.462,4.208,1323522.29,600987
69,2010-05-31,4.24,3.713,4.466,3.368,472256.45,600987
70,2010-06-30,3.763,3.548,3.999,3.526,362762.11,600987
71,2010-07-30,3.526,4.208,4.252,3.372,663531.12,600987
72,2010-08-31,4.335,4.725,4.835,4.263,1667287.22,600987
73,2010-09-30,4.736,5.105,5.182,4.56,1091767.0,600987
74,2010-10-29,5.127,5.039,5.336,4.725,1126635.0,600987
75,2010-11-30,5.05,4.973,5.567,4.615,1845678.0,600987
76,2010-12-31,4.951,4.769,5.066,4.34,682170.0,600987
77,2011-01-31,4.764,4.329,4.819,4.016,539078.0,600987
78,2011-02-28,4.34,4.83,4.885,4.214,607007.0,600987
79,2011-03-31,4.808,4.852,5.132,4.599,1317390.0,600987
80,2011-04-29,4.857,4.742,5.16,4.61,1030614.0,600987
81,2011-05-31,4.758,4.269,5.017,4.142,608262.0,600987
82,2011-06-30,4.291,4.157,4.371,3.921,339926.0,600987
