,date,open,close,high,low,volume,code
0,2018-06-15,30.17,53.0,53.0,30.17,4810.0,300750
1,2018-06-22,58.3,66.55,72.71,58.3,1318298.0,300750
2,2018-06-29,68.2,71.96,75.55,67.1,2754536.0,300750
3,2018-07-06,70.79,70.88,74.5,64.88,1762133.0,300750
4,2018-07-13,70.8,82.7,88.47,69.11,2079613.0,300750
5,2018-07-20,82.7,90.93,91.18,79.66,1530142.0,300750
6,2018-07-27,89.0,76.05,95.08,75.67,1593310.0,300750
7,2018-08-03,76.5,69.6,77.34,68.66,1012460.0,300750
8,2018-08-10,69.0,74.44,75.66,67.6,805912.0,300750
9,2018-08-17,73.0,68.16,74.19,66.21,545418.0,300750
10,2018-08-24,67.88,68.8,71.2,66.0,556856.0,300750
11,2018-08-31,68.58,65.5,74.32,65.01,716457.0,300750
12,2018-09-07,64.8,63.32,64.88,60.32,552700.0,300750
13,2018-09-14,63.56,65.9,69.0,61.0,509741.0,300750
14,2018-09-21,64.57,69.19,69.9,62.99,423720.0,300750
15,2018-09-28,68.4,73.0,75.09,67.71,458812.0,300750
16,2018-10-12,71.88,62.86,71.88,59.51,550789.0,300750
17,2018-10-19,68.8,73.77,74.26,65.52,694216.0,300750
18,2018-10-26,74.09,74.6,81.58,73.01,719496.0,300750
19,2018-11-02,74.94,78.48,78.63,69.88,588312.0,300750
20,2018-11-09,78.48,77.75,82.48,76.0,519967.0,300750
21,2018-11-16,77.0,80.11,83.8,76.7,573538.0,300750
22,2018-11-23,79.59,73.98,81.48,73.9,367712.0,300750
23,2018-11-30,73.8,80.03,81.5,72.8,442858.0,300750
24,2018-12-07,82.52,79.7,83.49,79.0,466437.0,300750
25,2018-12-14,79.45,79.34,82.48,76.8,348641.0,300750
26,2018-12-21,78.8,78.5,81.7,75.6,374899.0,300750
27,2018-12-28,77.68,73.8,79.24,73.8,279629.0,300750
28,2019-01-04,74.25,76.96,77.24,72.51,167942.0,300750
29,2019-01-11,76.94,75.29,79.45,74.8,414551.0,300750
30,2019-01-18,75.3,75.4,77.69,74.0,235188.0,300750
31,2019-01-25,75.03,77.44,78.79,74.01,273019.0,300750
32,2019-02-01,78.1,78.4,79.17,73.61,281999.0,300750
33,2019-02-15,78.99,82.42,88.88,78.98,444481.0,300750
34,2019-02-22,83.15,84.37,85.3,81.8,414605.0,300750
35,2019-03-01,85.77,90.03,92.88,85.3,526983.0,300750
36,2019-03-08,91.5,84.97,95.16,84.72,578621.0,300750
37,2019-03-15,84.73,89.83,93.85,84.55,474997.0,300750
38,2019-03-22,89.89,86.58,91.88,85.21,370616.0,300750
39,2019-03-29,87.97,85.0,90.58,82.1,451836.0,300750
40,2019-04-04,85.16,84.17,86.96,83.88,333439.0,300750
41,2019-04-12,84.71,81.98,85.25,80.58,490492.0,300750
42,2019-04-19,82.8,83.2,86.3,80.37,455725.0,300750
43,2019-04-26,83.21,79.35,83.6,75.01,320985.0,300750
44,2019-04-30,80.99,79.76,81.37,79.15,78972.0,300750
45,2019-05-10,76.87,74.1,77.66,70.72,239753.0,300750
46,2019-05-17,73.05,72.25,75.15,71.26,229225.0,300750
47,2019-05-24,71.37,67.85,72.08,66.99,178336.0,300750
48,2019-05-31,67.99,69.44,71.88,67.68,183714.0,300750
49,2019-06-06,68.6,66.94,69.67,66.66,151771.0,300750
50,2019-06-14,67.85,72.18,74.18,64.0,902850.0,300750
51,2019-06-21,72.25,69.09,73.83,68.25,591665.0,300750
52,2019-06-28,69.09,68.88,70.71,67.81,403629.0,300750
53,2019-07-05,70.0,71.08,73.01,69.31,684073.0,300750
54,2019-07-12,70.53,73.88,74.23,67.89,503229.0,300750
55,2019-07-19,74.51,72.5,74.58,71.31,354484.0,300750
56,2019-07-26,72.5,76.66,77.77,71.51,605713.0,300750
57,2019-08-02,76.52,75.28,78.49,73.75,372217.0,300750
58,2019-08-09,74.7,71.93,75.2,70.51,346971.0,300750
59,2019-08-16,71.81,73.22,75.09,71.53,274640.0,300750
60,2019-08-23,73.7,73.9,76.95,71.92,453467.0,300750
61,2019-08-30,72.89,72.27,74.53,70.56,493457.0,300750
62,2019-09-06,72.19,71.86,73.14,69.9,551302.0,300750
63,2019-09-12,72.51,78.0,81.08,72.06,812660.0,300750
64,2019-09-20,78.99,74.86,79.3,74.21,648659.0,300750
65,2019-09-27,74.87,71.46,74.88,71.02,587837.0,300750
66,2019-09-30,71.8,71.5,72.07,71.16,67607.0,300750
67,2019-10-11,71.61,71.46,72.14,68.38,437351.0,300750
68,2019-10-18,71.9,70.09,72.1,68.89,441358.0,300750
69,2019-10-25,70.28,71.02,71.95,69.0,327209.0,300750
70,2019-11-01,70.05,69.33,70.89,68.38,386333.0,300750
71,2019-11-08,69.6,75.62,78.88,69.1,1169163.0,300750
72,2019-11-15,74.78,72.6,75.4,71.6,432585.0,300750
73,2019-11-22,72.88,80.5,84.6,72.15,891631.0,300750
74,2019-11-29,81.35,87.41,89.6,81.0,1141207.0,300750
75,2019-12-06,88.2,93.0,93.46,84.59,842702.0,300750
76,2019-12-13,93.5,93.0,94.44,89.22,739387.0,300750
77,2019-12-20,92.54,92.78,97.19,91.28,857988.0,300750
78,2019-12-27,92.0,104.2,110.0,91.56,1060514.0,300750
79,2020-01-03,106.57,109.55,110.5,105.0,837742.0,300750
80,2020-01-10,111.3,113.31,115.5,107.1,938240.0,300750
81,2020-01-17,116.0,115.08,120.75,112.21,887210.0,300750
82,2020-01-23,114.99,130.57,137.0,112.9,1101370.0,300750
83,2020-02-07,126.56,160.2,169.89,126.5,2450487.0,300750
84,2020-02-14,161.0,149.9,168.58,148.86,1794443.0,300750
85,2020-02-21,149.0,159.9,165.1,148.88,1901434.0,300750
86,2020-02-28,157.0,135.67,165.5,135.51,2059984.0,300750
87,2020-03-06,138.8,143.52,149.69,134.95,1205447.0,300750
88,2020-03-13,138.99,132.1,148.58,126.01,1534639.0,300750
89,2020-03-20,128.0,115.86,128.88,111.25,1752777.0,300750
90,2020-03-27,110.8,118.71,123.33,105.01,1354078.0,300750
91,2020-04-03,116.0,121.0,125.56,110.7,1147250.0,300750
92,2020-04-10,123.6,118.46,126.09,117.93,609423.0,300750
93,2020-04-17,114.9,136.95,140.58,113.08,1348068.0,300750
94,2020-04-24,136.4,131.69,136.75,127.0,823083.0,300750
95,2020-04-30,133.02,144.38,148.51,131.62,723501.0,300750
96,2020-05-08,139.0,144.08,147.2,138.75,493590.0,300750
97,2020-05-15,144.2,145.48,147.69,135.06,1003639.0,300750
98,2020-05-22,145.0,142.81,155.4,139.69,897883.0,300750
99,2020-05-29,142.68,145.53,155.0,140.55,775371.0,300750
100,2020-06-05,147.47,151.2,154.89,146.36,638632.0,300750
101,2020-06-12,153.74,159.3,170.08,150.46,1075136.0,300750
102,2020-06-19,156.23,165.9,168.8,155.51,762795.0,300750
103,2020-06-24,165.75,171.5,173.58,163.52,496491.0,300750
104,2020-07-03,170.5,167.6,181.9,164.51,1075873.0,300750
105,2020-07-10,168.2,203.9,207.16,167.59,1296976.0,300750
106,2020-07-17,211.6,195.7,224.29,188.08,1487252.0,300750
107,2020-07-24,204.09,198.68,215.51,195.85,1268106.0,300750
108,2020-07-31,198.0,212.17,215.3,189.99,993613.0,300750
109,2020-08-07,213.88,204.29,222.98,202.11,804152.0,300750
110,2020-08-14,204.2,200.37,205.3,188.2,756158.0,300750
111,2020-08-21,200.0,192.23,205.0,185.0,882199.0,300750
112,2020-08-28,194.2,208.3,209.5,192.24,1009613.0,300750
113,2020-09-04,209.66,204.26,215.0,200.58,750659.0,300750
114,2020-09-11,202.9,187.3,204.85,177.99,1123888.0,300750
115,2020-09-18,190.5,198.03,201.95,190.0,665107.0,300750
116,2020-09-25,201.9,191.5,208.0,190.11,615963.0,300750
117,2020-09-30,193.45,209.2,211.01,191.81,444676.0,300750
