,body_type
0,hatchback
1,hatchback
2,minibus
3,sedan
4,universal
5,sedan
6,sedan
7,minivan
8,coupe
9,van
10,universal
11,hatchback
12,hatchback
13,sedan
14,cabriolet
15,minibus
16,universal
17,hatchback
18,minivan
19,universal
20,van
21,universal
22,universal
23,universal
24,minivan
25,minibus
26,sedan
27,sedan
28,universal
29,minivan
30,sedan
31,hatchback
32,hatchback
33,sedan
34,universal
35,sedan
36,van
37,sedan
38,minibus
39,sedan
40,sedan
41,minivan
42,sedan
43,sedan
44,minibus
45,hatchback
46,minivan
47,sedan
48,hatchback
49,sedan
50,suv
51,sedan
52,suv
53,universal
54,minivan
55,coupe
56,minivan
57,universal
58,sedan
59,universal
60,minivan
61,hatchback
62,minivan
63,hatchback
64,van
65,sedan
66,universal
67,sedan
68,hatchback
69,universal
70,minibus
71,sedan
72,sedan
73,hatchback
74,hatchback
75,hatchback
76,universal
77,hatchback
78,sedan
79,hatchback
80,sedan
81,minivan
82,sedan
83,sedan
84,suv
85,van
86,hatchback
87,hatchback
88,minibus
89,universal
90,sedan
91,minivan
92,sedan
93,sedan
94,hatchback
95,universal
96,sedan
97,hatchback
98,minivan
99,universal
100,hatchback
101,universal
102,universal
103,universal
104,hatchback
105,hatchback
106,sedan
107,universal
108,hatchback
109,sedan
110,hatchback
111,sedan
112,hatchback
113,sedan
114,sedan
115,van
116,hatchback
117,universal
118,universal
119,sedan
120,sedan
121,minivan
122,sedan
123,minibus
124,sedan
125,sedan
126,hatchback
127,coupe
128,sedan
129,suv
130,universal
131,sedan
132,universal
133,hatchback
134,coupe
135,sedan
136,sedan
137,sedan
138,sedan
139,universal
140,sedan
141,minivan
142,hatchback
143,minivan
144,minivan
145,universal
146,minivan
147,universal
148,hatchback
149,coupe
150,universal
151,minivan
152,universal
153,sedan
154,hatchback
155,minibus
156,liftback
157,universal
158,van
159,minivan
160,sedan
161,hatchback
162,sedan
163,sedan
164,sedan
165,minivan
166,hatchback
167,sedan
168,sedan
169,universal
170,sedan
171,hatchback
172,sedan
173,sedan
174,van
175,minivan
176,universal
177,hatchback
178,suv
179,hatchback
180,sedan
181,minivan
182,minivan
183,sedan
184,sedan
185,hatchback
186,hatchback
187,sedan
188,minivan
189,minibus
190,minibus
191,sedan
192,sedan
193,sedan
194,sedan
195,hatchback
196,hatchback
197,hatchback
198,sedan
199,universal
200,sedan
201,sedan
202,hatchback
203,hatchback
204,sedan
205,liftback
206,suv
207,sedan
208,minivan
209,hatchback
210,hatchback
211,suv
212,universal
213,universal
214,van
215,sedan
216,sedan
217,hatchback
218,sedan
219,universal
220,suv
221,minivan
222,suv
223,universal
224,coupe
225,universal
226,sedan
227,hatchback
228,universal
229,hatchback
230,suv
231,hatchback
232,sedan
233,van
234,universal
235,minivan
236,minivan
237,universal
238,hatchback
239,sedan
240,sedan
241,universal
242,sedan
243,universal
244,sedan
245,minivan
246,minivan
247,universal
248,van
249,sedan
250,sedan
251,universal
252,hatchback
253,hatchback
254,minivan
255,hatchback
256,sedan
257,minibus
258,sedan
259,sedan
260,universal
261,sedan
262,minibus
263,universal
264,hatchback
265,universal
266,sedan
267,minivan
268,sedan
269,minivan
270,minivan
271,minibus
272,hatchback
273,minibus
274,minivan
275,hatchback
276,hatchback
277,sedan
278,universal
279,universal
280,hatchback
281,hatchback
282,sedan
283,hatchback
284,universal
285,hatchback
286,sedan
287,universal
288,sedan
289,coupe
290,sedan
291,hatchback
292,hatchback
293,sedan
294,sedan
295,hatchback
296,minibus
297,hatchback
298,hatchback
299,sedan
300,sedan
301,sedan
302,minibus
303,minibus
304,sedan
305,hatchback
306,van
307,universal
308,hatchback
309,sedan
310,hatchback
311,suv
312,universal
313,universal
314,minibus
315,hatchback
316,sedan
317,sedan
318,suv
319,minivan
320,hatchback
321,hatchback
322,minivan
323,minibus
324,hatchback
325,universal
326,minibus
327,sedan
328,minivan
329,minibus
330,hatchback
331,sedan
332,coupe
333,hatchback
334,sedan
335,van
336,minivan
337,universal
338,sedan
339,sedan
340,sedan
341,minivan
342,hatchback
343,van
344,sedan
345,hatchback
346,hatchback
347,sedan
348,hatchback
349,sedan
350,hatchback
351,hatchback
352,sedan
353,minivan
354,sedan
355,sedan
356,sedan
357,sedan
358,universal
359,sedan
360,universal
361,hatchback
362,hatchback
363,sedan
364,hatchback
365,universal
366,suv
367,hatchback
368,hatchback
369,minibus
370,sedan
371,universal
372,sedan
373,hatchback
374,hatchback
375,universal
376,sedan
377,hatchback
378,universal
379,sedan
380,coupe
