,body_type
381,hatchback
382,hatchback
383,suv
384,minivan
385,hatchback
386,universal
387,universal
388,suv
389,minibus
390,minibus
391,sedan
392,minivan
393,sedan
394,hatchback
395,hatchback
396,van
397,minivan
398,sedan
399,sedan
400,hatchback
401,universal
402,minivan
403,universal
404,liftback
405,sedan
406,minivan
407,hatchback
408,coupe
409,minivan
410,sedan
411,universal
412,sedan
413,sedan
414,van
415,sedan
416,sedan
417,hatchback
418,sedan
419,hatchback
420,universal
421,sedan
422,coupe
423,minibus
424,universal
425,sedan
426,minibus
427,minibus
428,hatchback
429,hatchback
430,universal
431,minivan
432,hatchback
433,universal
434,sedan
435,suv
436,hatchback
437,minivan
438,van
439,sedan
440,minivan
441,sedan
442,universal
443,sedan
444,universal
445,universal
446,minibus
447,pickup
448,sedan
449,hatchback
450,hatchback
451,sedan
452,universal
453,minivan
454,hatchback
455,sedan
456,sedan
457,sedan
458,sedan
459,hatchback
460,liftback
461,sedan
462,sedan
463,hatchback
464,sedan
465,hatchback
466,suv
467,hatchback
468,sedan
469,minibus
470,hatchback
471,universal
472,minivan
473,hatchback
474,universal
475,van
476,hatchback
477,minibus
478,hatchback
479,sedan
480,minivan
481,sedan
482,sedan
483,hatchback
484,minivan
485,minivan
486,universal
487,sedan
488,sedan
489,sedan
490,sedan
491,minivan
492,suv
493,sedan
494,hatchback
495,sedan
496,sedan
497,hatchback
498,sedan
499,hatchback
500,hatchback
501,minivan
502,hatchback
503,sedan
504,sedan
505,universal
506,sedan
507,hatchback
508,universal
509,sedan
510,universal
511,hatchback
512,hatchback
513,hatchback
514,sedan
515,hatchback
516,suv
517,suv
518,universal
519,universal
520,universal
521,sedan
522,universal
523,suv
524,sedan
525,sedan
526,minivan
527,sedan
528,sedan
529,hatchback
530,sedan
531,universal
532,universal
533,hatchback
534,universal
535,universal
536,sedan
537,minivan
538,hatchback
539,hatchback
540,sedan
541,hatchback
542,sedan
543,universal
544,sedan
545,universal
546,hatchback
547,hatchback
548,sedan
549,hatchback
550,minibus
551,universal
552,universal
553,minibus
554,van
555,hatchback
556,universal
557,hatchback
558,universal
559,sedan
560,sedan
561,sedan
562,minibus
563,hatchback
564,minivan
565,universal
566,sedan
567,sedan
568,sedan
569,universal
570,van
571,minivan
572,suv
573,minivan
574,hatchback
575,sedan
576,hatchback
577,hatchback
578,minivan
579,sedan
580,hatchback
581,sedan
582,minivan
583,sedan
584,universal
585,liftback
586,universal
587,suv
588,sedan
589,hatchback
590,universal
591,universal
592,van
593,hatchback
594,hatchback
595,hatchback
596,minivan
597,universal
598,sedan
599,sedan
600,minivan
601,suv
602,hatchback
603,sedan
604,suv
605,minibus
606,hatchback
607,minivan
608,hatchback
609,sedan
610,sedan
611,sedan
612,liftback
613,suv
614,hatchback
615,hatchback
616,sedan
617,minibus
618,minivan
619,universal
620,sedan
621,van
622,minibus
623,sedan
624,universal
625,hatchback
626,van
627,sedan
628,van
629,universal
630,van
631,van
632,minivan
633,sedan
634,sedan
635,minibus
636,hatchback
637,sedan
638,sedan
639,minibus
640,sedan
641,minivan
642,van
643,hatchback
644,hatchback
645,sedan
646,sedan
647,sedan
648,sedan
649,hatchback
650,universal
651,minivan
652,hatchback
653,coupe
654,sedan
655,hatchback
656,sedan
657,minivan
658,minivan
659,sedan
660,hatchback
661,universal
662,hatchback
663,suv
664,hatchback
665,minivan
666,universal
667,universal
668,sedan
669,sedan
670,minivan
671,van
672,van
673,hatchback
674,minivan
675,sedan
676,suv
677,sedan
678,sedan
679,universal
680,sedan
681,van
682,hatchback
683,hatchback
684,hatchback
685,minibus
686,sedan
687,minivan
688,universal
689,sedan
690,universal
691,van
692,sedan
693,suv
694,sedan
695,sedan
696,sedan
697,suv
698,sedan
699,sedan
700,hatchback
701,hatchback
702,hatchback
703,sedan
704,hatchback
705,minivan
706,sedan
707,hatchback
708,hatchback
709,universal
710,suv
711,suv
712,hatchback
713,universal
714,sedan
715,universal
716,sedan
717,van
718,sedan
719,hatchback
720,universal
721,sedan
722,universal
723,sedan
724,minivan
725,suv
726,minibus
727,suv
728,sedan
729,sedan
730,sedan
731,sedan
732,hatchback
733,hatchback
734,universal
735,hatchback
736,hatchback
737,hatchback
738,universal
739,hatchback
740,sedan
741,universal
742,sedan
743,sedan
744,universal
745,sedan
746,universal
747,sedan
748,minivan
749,sedan
750,universal
751,sedan
752,sedan
753,universal
754,minibus
755,universal
756,sedan
757,sedan
758,universal
759,sedan
760,sedan
761,hatchback
762,sedan
763,minibus
764,hatchback
765,sedan
766,universal
767,hatchback
768,sedan
769,hatchback
770,hatchback
771,sedan
772,minivan
773,sedan
774,minibus
775,minivan
776,minibus
777,minivan
778,universal
779,hatchback
780,van
781,minivan
782,sedan
783,hatchback
784,van
785,sedan
786,sedan
787,sedan
788,hatchback
789,hatchback
790,sedan
791,minibus
792,universal
793,minivan
794,hatchback
795,sedan
796,hatchback
797,sedan
798,hatchback
799,minivan
800,universal
801,hatchback
802,minivan
803,hatchback
804,van
805,universal
806,hatchback
807,hatchback
808,universal
809,sedan
810,sedan
811,sedan
812,sedan
813,sedan
814,suv
815,hatchback
816,hatchback
817,sedan
818,minivan
819,sedan
820,sedan
821,sedan
822,sedan
823,coupe
824,sedan
825,van
826,sedan
827,sedan
828,sedan
829,sedan
830,hatchback
831,universal
832,sedan
833,universal
834,hatchback
835,hatchback
836,sedan
837,sedan
838,sedan
839,sedan
840,universal
841,minibus
842,suv
843,minivan
844,sedan
845,sedan
846,sedan
847,hatchback
848,universal
849,suv
850,hatchback
851,minivan
852,sedan
853,suv
854,universal
855,universal
856,minivan
857,sedan
858,hatchback
859,universal
860,universal
861,sedan
862,universal
863,universal
864,suv
865,minivan
866,minibus
867,universal
868,sedan
869,suv
870,minivan
871,universal
872,minibus
873,universal
874,pickup
875,minivan
876,coupe
877,minivan
878,sedan
879,hatchback
880,sedan
881,hatchback
882,hatchback
883,sedan
884,universal
885,van
886,sedan
887,sedan
888,minibus
889,liftback
890,hatchback
891,minivan
892,universal
893,sedan
894,universal
895,hatchback
896,hatchback
897,hatchback
898,minivan
899,universal
900,universal
901,minivan
902,sedan
903,sedan
904,sedan
905,hatchback
906,universal
907,sedan
908,sedan
909,liftback
910,hatchback
911,universal
912,hatchback
913,minivan
914,universal
915,universal
916,hatchback
917,minivan
918,sedan
919,universal
920,minibus
921,hatchback
922,minivan
923,hatchback
924,hatchback
925,universal
926,universal
927,sedan
928,hatchback
929,hatchback
930,sedan
931,hatchback
932,hatchback
933,sedan
934,minivan
935,sedan
936,minibus
937,universal
938,universal
939,hatchback
940,hatchback
941,hatchback
942,sedan
943,hatchback
944,hatchback
945,suv
946,hatchback
947,hatchback
948,universal
949,universal
950,sedan
951,sedan
952,universal
953,universal
954,minivan
955,minivan
956,suv
957,liftback
958,sedan
959,sedan
960,universal
961,sedan
962,sedan
963,sedan
964,van
965,hatchback
966,universal
967,universal
968,universal
969,universal
970,sedan
971,minibus
972,hatchback
973,sedan
974,sedan
975,universal
976,sedan
977,sedan
978,hatchback
979,sedan
980,minivan
981,sedan
982,sedan
983,hatchback
984,universal
985,sedan
986,hatchback
987,universal
988,universal
989,hatchback
990,sedan
991,minibus
992,sedan
993,hatchback
994,sedan
995,sedan
996,suv
997,sedan
998,sedan
999,sedan
1000,sedan
1001,sedan
1002,sedan
1003,sedan
1004,sedan
1005,sedan
1006,van
1007,sedan
1008,universal
1009,hatchback
1010,sedan
1011,minibus
1012,suv
1013,universal
1014,minibus
1015,sedan
1016,hatchback
1017,sedan
1018,coupe
1019,sedan
1020,minivan
1021,sedan
1022,universal
1023,sedan
1024,hatchback
1025,sedan
1026,hatchback
1027,sedan
1028,minivan
1029,sedan
1030,hatchback
1031,sedan
1032,universal
1033,hatchback
1034,sedan
1035,hatchback
1036,hatchback
1037,sedan
1038,minibus
1039,minibus
1040,hatchback
1041,sedan
1042,sedan
1043,hatchback
1044,sedan
1045,sedan
1046,coupe
1047,suv
1048,universal
1049,universal
1050,universal
1051,universal
1052,minivan
1053,hatchback
1054,hatchback
1055,minivan
1056,sedan
1057,hatchback
1058,pickup
1059,hatchback
1060,sedan
1061,sedan
1062,universal
1063,minivan
1064,van
1065,hatchback
1066,sedan
1067,universal
1068,suv
1069,sedan
1070,universal
1071,hatchback
1072,sedan
1073,universal
1074,sedan
1075,hatchback
1076,sedan
1077,sedan
1078,universal
1079,hatchback
1080,universal
1081,universal
1082,minivan
1083,sedan
1084,sedan
1085,universal
1086,suv
1087,sedan
1088,hatchback
1089,universal
1090,hatchback
1091,hatchback
1092,universal
1093,hatchback
1094,suv
1095,hatchback
1096,hatchback
1097,hatchback
1098,suv
1099,sedan
1100,suv
1101,hatchback
1102,hatchback
1103,sedan
1104,minibus
1105,hatchback
1106,sedan
1107,hatchback
1108,universal
1109,hatchback
1110,hatchback
1111,minibus
1112,coupe
1113,sedan
1114,sedan
1115,universal
1116,hatchback
1117,sedan
1118,sedan
1119,hatchback
1120,minivan
1121,sedan
1122,minivan
1123,hatchback
1124,minivan
1125,sedan
1126,sedan
1127,sedan
1128,suv
1129,hatchback
1130,sedan
1131,sedan
1132,universal
1133,hatchback
1134,universal
1135,cabriolet
1136,sedan
1137,sedan
1138,hatchback
1139,universal
1140,minibus
1141,sedan
1142,universal
1143,sedan
1144,sedan
1145,sedan
1146,van
1147,suv
1148,minivan
1149,hatchback
1150,sedan
1151,hatchback
1152,universal
1153,universal
1154,sedan
1155,universal
1156,minivan
1157,sedan
1158,hatchback
1159,sedan
1160,universal
1161,minibus
1162,universal
1163,van
1164,sedan
1165,minivan
1166,sedan
1167,sedan
1168,sedan
1169,sedan
1170,sedan
1171,sedan
1172,sedan
1173,hatchback
1174,hatchback
1175,van
1176,hatchback
1177,sedan
1178,minibus
1179,sedan
1180,hatchback
1181,hatchback
1182,sedan
1183,universal
1184,coupe
1185,minivan
1186,universal
1187,hatchback
1188,coupe
1189,minibus
1190,sedan
1191,sedan
1192,sedan
1193,universal
1194,minivan
1195,minibus
1196,sedan
1197,hatchback
1198,universal
1199,universal
1200,universal
1201,minivan
1202,universal
1203,hatchback
1204,suv
1205,universal
1206,universal
1207,hatchback
1208,sedan
1209,minibus
1210,hatchback
1211,hatchback
1212,universal
1213,sedan
1214,sedan
1215,suv
1216,universal
1217,coupe
1218,universal
1219,minibus
1220,hatchback
1221,sedan
1222,sedan
1223,universal
1224,hatchback
1225,hatchback
1226,suv
1227,minivan
1228,sedan
1229,universal
1230,hatchback
1231,sedan
1232,hatchback
1233,hatchback
1234,hatchback
1235,universal
1236,hatchback
1237,suv
1238,universal
1239,hatchback
1240,sedan
1241,minibus
1242,hatchback
1243,sedan
1244,universal
1245,sedan
1246,sedan
1247,hatchback
1248,hatchback
1249,hatchback
1250,hatchback
1251,sedan
1252,coupe
1253,van
1254,suv
1255,hatchback
1256,hatchback
1257,sedan
1258,sedan
1259,sedan
1260,hatchback
1261,hatchback
1262,sedan
1263,hatchback
1264,universal
1265,sedan
1266,van
1267,universal
1268,sedan
1269,hatchback
1270,sedan
1271,universal
1272,hatchback
1273,suv
1274,sedan
1275,universal
1276,minivan
1277,sedan
1278,van
1279,universal
1280,minibus
1281,sedan
1282,minibus
1283,universal
1284,hatchback
1285,sedan
1286,sedan
1287,minibus
1288,sedan
1289,universal
1290,universal
1291,minibus
1292,universal
1293,hatchback
1294,universal
1295,universal
1296,sedan
1297,minivan
1298,universal
1299,universal
1300,universal
1301,minivan
1302,minivan
1303,hatchback
1304,universal
1305,universal
1306,hatchback
1307,hatchback
1308,sedan
1309,sedan
1310,pickup
1311,universal
1312,universal
1313,hatchback
1314,hatchback
1315,hatchback
1316,universal
1317,sedan
1318,sedan
1319,minivan
1320,minivan
1321,hatchback
1322,hatchback
1323,minibus
1324,suv
1325,hatchback
1326,van
1327,minivan
1328,universal
1329,minivan
1330,hatchback
1331,sedan
1332,minibus
1333,hatchback
1334,universal
1335,hatchback
1336,minivan
1337,sedan
1338,sedan
1339,minivan
1340,coupe
1341,sedan
1342,hatchback
1343,sedan
1344,universal
1345,suv
1346,sedan
1347,hatchback
1348,minivan
1349,van
1350,liftback
1351,sedan
1352,sedan
1353,hatchback
1354,universal
1355,sedan
1356,hatchback
1357,minivan
1358,sedan
1359,minivan
1360,sedan
1361,sedan
1362,universal
1363,sedan
1364,universal
1365,hatchback
1366,sedan
1367,minivan
1368,hatchback
1369,hatchback
1370,universal
1371,minivan
1372,suv
1373,minivan
1374,universal
1375,universal
1376,minibus
1377,suv
1378,sedan
1379,sedan
1380,hatchback
1381,universal
1382,suv
1383,sedan
1384,sedan
1385,universal
1386,sedan
1387,hatchback
1388,sedan
1389,universal
1390,sedan
1391,sedan
1392,minivan
1393,sedan
1394,liftback
1395,hatchback
1396,minivan
1397,sedan
1398,sedan
1399,sedan
1400,sedan
1401,sedan
1402,universal
1403,liftback
1404,hatchback
1405,sedan
1406,sedan
1407,universal
1408,universal
1409,sedan
1410,minivan
1411,sedan
1412,universal
1413,hatchback
1414,universal
1415,minibus
1416,sedan
1417,minibus
1418,van
1419,minivan
1420,minivan
1421,hatchback
1422,sedan
1423,universal
1424,sedan
1425,sedan
1426,sedan
1427,minivan
1428,hatchback
1429,sedan
1430,universal
1431,sedan
1432,hatchback
1433,coupe
1434,minibus
1435,sedan
1436,suv
1437,hatchback
1438,pickup
1439,universal
1440,sedan
1441,minibus
1442,universal
1443,hatchback
1444,sedan
1445,sedan
1446,sedan
1447,universal
1448,universal
1449,sedan
1450,hatchback
1451,universal
1452,universal
1453,sedan
1454,sedan
1455,minibus
1456,sedan
1457,hatchback
1458,universal
1459,universal
1460,universal
1461,hatchback
1462,minivan
1463,hatchback
1464,hatchback
1465,hatchback
1466,sedan
1467,universal
1468,sedan
1469,universal
1470,universal
1471,sedan
1472,minibus
1473,sedan
1474,universal
1475,universal
1476,hatchback
1477,minibus
1478,sedan
1479,universal
1480,universal
1481,hatchback
1482,hatchback
1483,sedan
1484,hatchback
1485,universal
1486,hatchback
1487,sedan
1488,hatchback
1489,suv
1490,hatchback
1491,suv
1492,universal
1493,sedan
1494,universal
1495,sedan
1496,sedan
1497,minibus
1498,hatchback
1499,sedan
1500,sedan
1501,sedan
1502,hatchback
1503,hatchback
1504,sedan
1505,sedan
1506,universal
1507,suv
1508,hatchback
1509,hatchback
1510,hatchback
1511,hatchback
1512,hatchback
1513,sedan
1514,hatchback
1515,hatchback
1516,van
1517,suv
1518,sedan
1519,universal
1520,coupe
1521,sedan
1522,hatchback
1523,minivan
1524,minivan
1525,van
1526,hatchback
1527,universal
1528,sedan
1529,universal
1530,sedan
1531,sedan
1532,sedan
1533,universal
1534,minivan
1535,sedan
1536,minibus
1537,minivan
1538,minivan
1539,minivan
1540,universal
1541,minivan
1542,hatchback
1543,hatchback
1544,universal
1545,minibus
1546,liftback
1547,minibus
1548,sedan
1549,sedan
1550,sedan
1551,hatchback
1552,universal
1553,suv
1554,liftback
1555,hatchback
1556,universal
1557,sedan
1558,minivan
1559,hatchback
1560,van
1561,sedan
1562,minivan
1563,minibus
1564,universal
1565,hatchback
1566,sedan
1567,liftback
1568,van
1569,minivan
1570,universal
1571,sedan
1572,universal
1573,sedan
1574,suv
1575,sedan
1576,sedan
1577,hatchback
1578,sedan
1579,van
1580,hatchback
1581,universal
1582,hatchback
1583,universal
1584,sedan
1585,universal
1586,sedan
1587,sedan
1588,minivan
1589,sedan
1590,minivan
1591,hatchback
1592,hatchback
1593,universal
1594,hatchback
1595,hatchback
1596,minivan
1597,sedan
1598,universal
1599,hatchback
1600,sedan
1601,sedan
1602,hatchback
1603,universal
1604,minibus
1605,hatchback
1606,minivan
1607,suv
1608,hatchback
1609,sedan
1610,universal
1611,cabriolet
1612,sedan
1613,hatchback
1614,minibus
1615,minibus
1616,hatchback
1617,universal
1618,sedan
1619,sedan
1620,liftback
1621,sedan
1622,hatchback
1623,minivan
1624,sedan
1625,sedan
1626,sedan
1627,suv
1628,universal
1629,minivan
1630,sedan
1631,coupe
1632,sedan
1633,liftback
1634,sedan
1635,sedan
1636,universal
1637,sedan
1638,sedan
1639,universal
1640,hatchback
1641,sedan
1642,suv
1643,sedan
1644,minivan
1645,minivan
1646,hatchback
1647,van
1648,sedan
1649,hatchback
1650,sedan
1651,sedan
1652,hatchback
1653,hatchback
1654,universal
1655,minivan
1656,sedan
1657,minivan
1658,sedan
1659,coupe
1660,minivan
1661,sedan
1662,van
1663,universal
1664,universal
1665,liftback
1666,suv
1667,universal
1668,minivan
1669,hatchback
1670,universal
1671,sedan
1672,universal
1673,universal
1674,sedan
1675,hatchback
1676,hatchback
1677,hatchback
1678,minivan
1679,sedan
1680,sedan
1681,minivan
1682,liftback
1683,sedan
1684,hatchback
1685,sedan
1686,suv
1687,van
1688,hatchback
1689,sedan
1690,liftback
1691,sedan
1692,universal
1693,minivan
1694,minibus
1695,minivan
1696,suv
1697,universal
1698,suv
1699,suv
1700,universal
1701,suv
1702,hatchback
1703,sedan
1704,hatchback
1705,sedan
1706,hatchback
1707,minivan
1708,minibus
1709,minivan
1710,universal
1711,universal
1712,suv
1713,universal
1714,sedan
1715,universal
1716,minivan
1717,hatchback
1718,minivan
1719,universal
1720,sedan
1721,minivan
1722,suv
1723,sedan
1724,sedan
1725,hatchback
1726,hatchback
1727,minibus
1728,minibus
1729,sedan
1730,minivan
1731,universal
1732,minivan
1733,hatchback
1734,universal
1735,van
1736,universal
1737,universal
1738,van
1739,sedan
1740,universal
1741,minivan
1742,hatchback
1743,minivan
1744,hatchback
1745,hatchback
1746,minivan
1747,sedan
1748,universal
1749,sedan
1750,coupe
1751,minivan
1752,suv
1753,hatchback
1754,van
1755,sedan
1756,hatchback
1757,hatchback
1758,suv
1759,universal
1760,universal
1761,suv
1762,sedan
1763,minivan
1764,hatchback
1765,sedan
1766,sedan
1767,sedan
1768,sedan
1769,hatchback
1770,suv
1771,liftback
1772,sedan
1773,hatchback
1774,hatchback
1775,minivan
1776,universal
1777,minivan
1778,sedan
1779,sedan
1780,universal
1781,sedan
1782,suv
1783,sedan
1784,universal
1785,minivan
1786,sedan
1787,minivan
1788,sedan
1789,universal
1790,liftback
1791,universal
1792,van
1793,universal
1794,hatchback
1795,sedan
1796,minibus
1797,universal
1798,hatchback
1799,hatchback
1800,hatchback
1801,universal
1802,hatchback
1803,sedan
1804,liftback
1805,universal
1806,sedan
1807,liftback
1808,sedan
1809,minibus
1810,hatchback
1811,hatchback
1812,sedan
1813,sedan
1814,hatchback
1815,sedan
1816,minibus
1817,sedan
1818,minibus
1819,liftback
1820,suv
1821,minivan
1822,minivan
1823,suv
1824,van
1825,universal
1826,hatchback
1827,minivan
1828,hatchback
1829,minivan
1830,sedan
1831,universal
1832,sedan
1833,minivan
1834,hatchback
1835,universal
1836,sedan
1837,sedan
1838,sedan
1839,hatchback
1840,sedan
1841,universal
1842,sedan
1843,hatchback
1844,hatchback
1845,suv
1846,universal
1847,sedan
1848,sedan
1849,suv
1850,sedan
1851,minibus
1852,universal
1853,sedan
1854,minivan
1855,sedan
1856,sedan
1857,sedan
1858,sedan
1859,hatchback
1860,sedan
1861,sedan
1862,sedan
1863,sedan
1864,sedan
1865,sedan
1866,hatchback
1867,minivan
1868,liftback
1869,sedan
1870,universal
1871,universal
1872,universal
1873,sedan
1874,van
1875,sedan
1876,universal
1877,hatchback
1878,minivan
1879,minivan
1880,hatchback
1881,sedan
1882,minivan
1883,sedan
1884,universal
1885,universal
1886,hatchback
1887,van
1888,sedan
1889,hatchback
1890,sedan
1891,suv
1892,hatchback
1893,sedan
1894,cabriolet
1895,hatchback
1896,sedan
1897,universal
1898,minivan
1899,liftback
1900,hatchback
1901,hatchback
1902,van
1903,sedan
1904,liftback
1905,sedan
1906,universal
1907,minivan
1908,minivan
1909,universal
1910,universal
1911,universal
1912,hatchback
1913,hatchback
1914,sedan
1915,sedan
1916,hatchback
1917,sedan
1918,hatchback
1919,sedan
1920,minibus
1921,van
1922,sedan
1923,suv
1924,hatchback
1925,hatchback
1926,coupe
1927,universal
1928,coupe
1929,hatchback
1930,hatchback
1931,van
1932,sedan
1933,sedan
1934,hatchback
1935,hatchback
1936,sedan
1937,suv
1938,minivan
1939,sedan
1940,sedan
1941,hatchback
1942,universal
1943,suv
1944,sedan
1945,minibus
1946,sedan
1947,minivan
1948,van
1949,hatchback
1950,sedan
1951,sedan
1952,universal
1953,coupe
1954,hatchback
1955,minivan
1956,hatchback
1957,hatchback
1958,minivan
1959,suv
1960,van
1961,universal
1962,sedan
1963,hatchback
1964,sedan
1965,sedan
1966,minibus
1967,minibus
1968,hatchback
1969,universal
1970,hatchback
1971,hatchback
1972,universal
1973,sedan
1974,universal
1975,hatchback
1976,minibus
1977,hatchback
1978,sedan
1979,universal
1980,hatchback
1981,universal
1982,van
1983,suv
1984,universal
1985,sedan
1986,suv
1987,minibus
1988,pickup
1989,sedan
1990,coupe
1991,van
1992,universal
1993,universal
1994,minibus
1995,hatchback
1996,minivan
1997,universal
1998,minivan
1999,sedan
2000,sedan
2001,sedan
2002,minibus
2003,hatchback
2004,hatchback
2005,liftback
2006,sedan
2007,van
2008,minibus
2009,hatchback
2010,hatchback
2011,van
2012,suv
2013,sedan
2014,sedan
2015,minivan
2016,sedan
2017,hatchback
2018,sedan
2019,minivan
2020,universal
2021,sedan
2022,van
2023,hatchback
2024,hatchback
2025,hatchback
2026,universal
2027,universal
2028,minivan
2029,sedan
2030,hatchback
2031,hatchback
2032,universal
2033,universal
2034,sedan
2035,hatchback
2036,minivan
2037,universal
2038,sedan
2039,universal
2040,hatchback
2041,universal
2042,sedan
2043,sedan
2044,minivan
2045,sedan
2046,hatchback
2047,hatchback
2048,sedan
2049,sedan
2050,universal
2051,hatchback
2052,minivan
2053,hatchback
2054,minibus
2055,pickup
2056,hatchback
2057,sedan
2058,universal
2059,universal
2060,sedan
2061,sedan
2062,hatchback
2063,minivan
2064,suv
2065,hatchback
2066,universal
2067,hatchback
2068,universal
2069,hatchback
2070,sedan
2071,hatchback
2072,universal
2073,minibus
2074,universal
2075,van
2076,hatchback
2077,minivan
2078,universal
2079,hatchback
2080,suv
2081,universal
2082,universal
2083,universal
2084,sedan
2085,sedan
2086,sedan
2087,hatchback
2088,universal
2089,suv
2090,van
2091,sedan
2092,hatchback
2093,universal
2094,sedan
2095,universal
2096,universal
2097,minivan
2098,sedan
2099,liftback
2100,hatchback
2101,sedan
2102,hatchback
2103,sedan
2104,universal
2105,hatchback
2106,minivan
2107,sedan
2108,minibus
2109,sedan
2110,universal
2111,universal
2112,sedan
2113,universal
2114,sedan
2115,universal
2116,hatchback
2117,sedan
2118,sedan
2119,universal
2120,universal
2121,hatchback
2122,sedan
2123,sedan
2124,universal
2125,hatchback
2126,sedan
2127,suv
2128,suv
2129,minivan
2130,minibus
2131,minivan
2132,sedan
2133,hatchback
2134,sedan
2135,hatchback
2136,van
2137,universal
2138,van
2139,hatchback
2140,universal
2141,universal
2142,suv
2143,minivan
2144,minibus
2145,hatchback
2146,hatchback
2147,suv
2148,hatchback
2149,suv
2150,sedan
2151,minibus
2152,sedan
2153,universal
2154,hatchback
2155,minivan
2156,sedan
2157,sedan
2158,suv
2159,sedan
2160,suv
2161,minivan
2162,universal
2163,minivan
